
.\shellcode.exe:     file format pei-i386


Disassembly of section .text:

004014f0 <_main>:
  4014f0:	55                   	push   %ebp
  4015b0:	89 44 24 44          	mov    %eax,0x44(%esp)
  4015b4:	8b 44 24 4c          	mov    0x4c(%esp),%eax
  4015b8:	83 c0 24             	add    $0x24,%eax
  4015bb:	8b 00                	mov    (%eax),%eax
  4015bd:	89 c2                	mov    %eax,%edx
  4015bf:	8b 44 24 64          	mov    0x64(%esp),%eax
  4015c3:	01 d0                	add    %edx,%eax
  4015c5:	89 44 24 40          	mov    %eax,0x40(%esp)
  4015c9:	c7 44 24 7c 00 00 00 	movl   $0x0,0x7c(%esp)
  4015d0:	00 
  4015d1:	c7 44 24 20 57 69 6e 	movl   $0x456e6957,0x20(%esp)
  4015d8:	45 
  4015d9:	c7 44 24 24 78 65 63 	movl   $0x636578,0x24(%esp)
  4015e0:	00 
  4015e1:	8b 44 24 7c          	mov    0x7c(%esp),%eax
  4015e5:	8d 14 85 00 00 00 00 	lea    0x0(,%eax,4),%edx
  4015ec:	8b 44 24 44          	mov    0x44(%esp),%eax
  4015f0:	01 d0                	add    %edx,%eax
  4015f2:	8b 00                	mov    (%eax),%eax
  4015f4:	89 c2                	mov    %eax,%edx
  4015f6:	8b 44 24 64          	mov    0x64(%esp),%eax
  4015fa:	01 d0                	add    %edx,%eax
  4015fc:	89 44 24 3c          	mov    %eax,0x3c(%esp)
  401600:	8b 44 24 3c          	mov    0x3c(%esp),%eax
  401604:	0f b6 10             	movzbl (%eax),%edx
  401607:	0f b6 44 24 20       	movzbl 0x20(%esp),%eax
  40160c:	38 c2                	cmp    %al,%dl
  40160e:	75 72                	jne    401682 <_main+0x192>
  401610:	8b 44 24 3c          	mov    0x3c(%esp),%eax
  401614:	83 c0 01             	add    $0x1,%eax
  401617:	0f b6 10             	movzbl (%eax),%edx
  40161a:	0f b6 44 24 21       	movzbl 0x21(%esp),%eax
  40161f:	38 c2                	cmp    %al,%dl
  401621:	75 5f                	jne    401682 <_main+0x192>
  401623:	8b 44 24 3c          	mov    0x3c(%esp),%eax
  401627:	83 c0 02             	add    $0x2,%eax
  40162a:	0f b6 10             	movzbl (%eax),%edx
  40162d:	0f b6 44 24 22       	movzbl 0x22(%esp),%eax
  401632:	38 c2                	cmp    %al,%dl
  401634:	75 4c                	jne    401682 <_main+0x192>
  401636:	8b 44 24 3c          	mov    0x3c(%esp),%eax
  40163a:	83 c0 03             	add    $0x3,%eax
  40163d:	0f b6 10             	movzbl (%eax),%edx
  401640:	0f b6 44 24 23       	movzbl 0x23(%esp),%eax
  401645:	38 c2                	cmp    %al,%dl
  401647:	75 39                	jne    401682 <_main+0x192>
  401649:	8b 44 24 3c          	mov    0x3c(%esp),%eax
  40164d:	83 c0 04             	add    $0x4,%eax
  401650:	0f b6 10             	movzbl (%eax),%edx
  401653:	0f b6 44 24 24       	movzbl 0x24(%esp),%eax
  401658:	38 c2                	cmp    %al,%dl
  40165a:	75 26                	jne    401682 <_main+0x192>
  40165c:	8b 44 24 3c          	mov    0x3c(%esp),%eax
  401660:	83 c0 05             	add    $0x5,%eax
  401663:	0f b6 10             	movzbl (%eax),%edx
  401666:	0f b6 44 24 25       	movzbl 0x25(%esp),%eax
  40166b:	38 c2                	cmp    %al,%dl
  40166d:	75 13                	jne    401682 <_main+0x192>
  40166f:	8b 44 24 3c          	mov    0x3c(%esp),%eax
  401673:	83 c0 06             	add    $0x6,%eax
  401676:	0f b6 10             	movzbl (%eax),%edx
  401679:	0f b6 44 24 26       	movzbl 0x26(%esp),%eax
  40167e:	38 c2                	cmp    %al,%dl
  401680:	74 0a                	je     40168c <_main+0x19c>
  401682:	83 44 24 7c 01       	addl   $0x1,0x7c(%esp)
  401687:	e9 55 ff ff ff       	jmp    4015e1 <_main+0xf1>
  40168c:	90                   	nop
  40168d:	8b 44 24 7c          	mov    0x7c(%esp),%eax
  401691:	89 44 24 38          	mov    %eax,0x38(%esp)
  401695:	8b 44 24 38          	mov    0x38(%esp),%eax
  401699:	8d 14 00             	lea    (%eax,%eax,1),%edx
  40169c:	8b 44 24 40          	mov    0x40(%esp),%eax
  4016a0:	01 d0                	add    %edx,%eax
  4016a2:	0f b7 00             	movzwl (%eax),%eax
  4016a5:	66 89 44 24 36       	mov    %ax,0x36(%esp)
  4016aa:	0f bf 44 24 36       	movswl 0x36(%esp),%eax
  4016af:	8d 14 85 00 00 00 00 	lea    0x0(,%eax,4),%edx
  4016b6:	8b 44 24 48          	mov    0x48(%esp),%eax
  4016ba:	01 d0                	add    %edx,%eax
  4016bc:	8b 00                	mov    (%eax),%eax
  4016be:	89 44 24 30          	mov    %eax,0x30(%esp)
  4016c2:	8b 54 24 30          	mov    0x30(%esp),%edx
  4016c6:	8b 44 24 64          	mov    0x64(%esp),%eax
  4016ca:	01 d0                	add    %edx,%eax
  4016cc:	89 44 24 2c          	mov    %eax,0x2c(%esp)
  4016d0:	c7 44 24 17 63 61 6c 	movl   $0x636c6163,0x17(%esp)
  4016d7:	63 
  4016d8:	c7 44 24 1b 2e 65 78 	movl   $0x6578652e,0x1b(%esp)
  4016df:	65 
  4016e0:	c6 44 24 1f 00       	movb   $0x0,0x1f(%esp)
  4016e5:	8b 44 24 2c          	mov    0x2c(%esp),%eax
  4016e9:	89 44 24 28          	mov    %eax,0x28(%esp)
  4016ed:	c7 44 24 04 00 00 00 	movl   $0x0,0x4(%esp)
  4016f4:	00 
  4016f5:	8d 44 24 17          	lea    0x17(%esp),%eax
  4016f9:	89 04 24             	mov    %eax,(%esp)
  4016fc:	8b 44 24 28          	mov    0x28(%esp),%eax
  401700:	ff d0                	call   *%eax
  401702:	b8 00 00 00 00       	mov    $0x0,%eax
  401707:	c9                   	leave
  401708:	c3                   	ret
  401709:	90                   	nop
  40170a:	90                   	nop
  40170b:	90                   	nop
  40170c:	66 90                	xchg   %ax,%ax
  40170e:	66 90                	xchg   %ax,%ax
